Goertzel,2132,DFTBin,2803
Goertzel,2126,DFTBin,2802
Goertzel,2132,DFTBin,2801
Goertzel,2140,DFTBin,2802
Goertzel,2135,DFTBin,2803
Goertzel,2135,DFTBin,2800
Goertzel,2129,DFTBin,2803
Goertzel,2130,DFTBin,2796
Goertzel,2133,DFTBin,2801
Goertzel,2131,DFTBin,2799
Goertzel,2131,DFTBin,2803
Goertzel,2127,DFTBin,2796
Goertzel,2130,DFTBin,2799
Goertzel,2128,DFTBin,2805
Goertzel,2130,DFTBin,2799
Goertzel,2129,DFTBin,2798
Goertzel,2131,DFTBin,2796
Goertzel,2128,DFTBin,2797
Goertzel,2130,DFTBin,2805
Goertzel,2131,DFTBin,2800
Goertzel,2128,DFTBin,2798
Goertzel,2128,DFTBin,2797
Goertzel,2133,DFTBin,2803
Goertzel,2127,DFTBin,2799
Goertzel,2130,DFTBin,2801
Goertzel,2133,DFTBin,2804
Goertzel,2134,DFTBin,2800
Goertzel,2130,DFTBin,2798
Goertzel,2136,DFTBin,2799
Goertzel,2136,DFTBin,2805
Goertzel,2130,DFTBin,2801
Goertzel,2134,DFTBin,2804
Goertzel,2136,DFTBin,2802
Goertzel,2129,DFTBin,2804
Goertzel,2132,DFTBin,2796
Goertzel,2120,DFTBin,2800
Goertzel,2131,DFTBin,2813
Goertzel,2130,DFTBin,2801
Goertzel,2132,DFTBin,2801
Goertzel,2133,DFTBin,2801
Goertzel,2133,DFTBin,2802
Goertzel,2126,DFTBin,2802
Goertzel,2138,DFTBin,2798
Goertzel,2131,DFTBin,2801
Goertzel,2131,DFTBin,2799
Goertzel,2135,DFTBin,2802
Goertzel,2130,DFTBin,2804
Goertzel,2130,DFTBin,2803
Goertzel,2133,DFTBin,2803
Goertzel,2131,DFTBin,2802
Goertzel,2135,DFTBin,2798
Goertzel,2129,DFTBin,2799
Goertzel,2144,DFTBin,2803
Goertzel,2132,DFTBin,2799
Goertzel,2125,DFTBin,2802
Goertzel,2132,DFTBin,2800
Goertzel,2131,DFTBin,2804
Goertzel,2134,DFTBin,2799
Goertzel,2125,DFTBin,2803
Goertzel,2131,DFTBin,2798
Goertzel,2133,DFTBin,2799
Goertzel,2136,DFTBin,2800
Goertzel,2127,DFTBin,2798
Goertzel,2128,DFTBin,2800
Goertzel,2130,DFTBin,2802
Goertzel,2135,DFTBin,2800
Goertzel,2129,DFTBin,2797
Goertzel,2129,DFTBin,2808
Goertzel,2130,DFTBin,2797
Goertzel,2128,DFTBin,2802
Goertzel,2125,DFTBin,2801
Goertzel,2136,DFTBin,2807
Goertzel,2124,DFTBin,2797
Goertzel,2129,DFTBin,2800
Goertzel,2127,DFTBin,2804
Goertzel,2129,DFTBin,2801
Goertzel,2127,DFTBin,2801
Goertzel,2134,DFTBin,2801
Goertzel,2133,DFTBin,2803
Goertzel,2127,DFTBin,2800
Goertzel,2130,DFTBin,2804
Goertzel,2138,DFTBin,2809
Goertzel,2131,DFTBin,2798
Goertzel,2134,DFTBin,2800
Goertzel,2131,DFTBin,2804
Goertzel,2137,DFTBin,2796
Goertzel,2132,DFTBin,2800
Goertzel,2132,DFTBin,2802
Goertzel,2135,DFTBin,2805
Goertzel,2125,DFTBin,2806
Goertzel,2134,DFTBin,2803
Goertzel,2134,DFTBin,2796
Goertzel,2129,DFTBin,2801
Goertzel,2131,DFTBin,2803
Goertzel,2134,DFTBin,2809
Goertzel,2134,DFTBin,2799
Goertzel,2130,DFTBin,2797
Goertzel,2137,DFTBin,2800
Goertzel,2133,DFTBin,2801
Goertzel,2128,DFTBin,2805
Goertzel,2125,DFTBin,2805
Goertzel,2129,DFTBin,2797
Goertzel,2130,DFTBin,2799
Goertzel,2136,DFTBin,2797
Goertzel,2133,DFTBin,2803
Goertzel,2130,DFTBin,2799
Goertzel,2130,DFTBin,2805
Goertzel,2136,DFTBin,2801
Goertzel,2125,DFTBin,2802
Goertzel,2123,DFTBin,2807
Goertzel,2132,DFTBin,2800
Goertzel,2133,DFTBin,2796
Goertzel,2131,DFTBin,2801
Goertzel,2128,DFTBin,2801
Goertzel,2132,DFTBin,2802
Goertzel,2127,DFTBin,2795
Goertzel,2129,DFTBin,2802
Goertzel,2130,DFTBin,2803
Goertzel,2130,DFTBin,2800
Goertzel,2132,DFTBin,2802
Goertzel,2130,DFTBin,2813
Goertzel,2128,DFTBin,2799
Goertzel,2137,DFTBin,2805
Goertzel,2130,DFTBin,2805
Goertzel,2125,DFTBin,2804
Goertzel,2134,DFTBin,2804
Goertzel,2130,DFTBin,2800
Goertzel,2130,DFTBin,2798
Goertzel,2133,DFTBin,2801
Goertzel,2125,DFTBin,2803
Goertzel,2126,DFTBin,2803
Goertzel,2130,DFTBin,2795
Goertzel,2133,DFTBin,2801
Goertzel,2132,DFTBin,2799
Goertzel,2135,DFTBin,2798
Goertzel,2127,DFTBin,2798
Goertzel,2129,DFTBin,2804
Goertzel,2135,DFTBin,2798
Goertzel,2124,DFTBin,2799
Goertzel,2132,DFTBin,2811
Goertzel,2128,DFTBin,2803
Goertzel,2132,DFTBin,2799
Goertzel,2123,DFTBin,2807
Goertzel,2131,DFTBin,2799
Goertzel,2135,DFTBin,2803
Goertzel,2128,DFTBin,2799
Goertzel,2136,DFTBin,2800
Goertzel,2133,DFTBin,2793
Goertzel,2129,DFTBin,2804
Goertzel,2133,DFTBin,2812
Goertzel,2132,DFTBin,2804
Goertzel,2130,DFTBin,2805
Goertzel,2127,DFTBin,2799
Goertzel,2131,DFTBin,2807
Goertzel,2125,DFTBin,2798
Goertzel,2138,DFTBin,2801
Goertzel,2130,DFTBin,2793
Goertzel,2127,DFTBin,2798
Goertzel,2134,DFTBin,2795
Goertzel,2135,DFTBin,2804
Goertzel,2129,DFTBin,2805
Goertzel,2133,DFTBin,2799
Goertzel,2136,DFTBin,2803
Goertzel,2133,DFTBin,2797
Goertzel,2131,DFTBin,2802
Goertzel,2130,DFTBin,2802
Goertzel,2127,DFTBin,2797
Goertzel,2134,DFTBin,2797
Goertzel,2128,DFTBin,2799
Goertzel,2132,DFTBin,2799
Goertzel,2127,DFTBin,2798
Goertzel,2129,DFTBin,2799
Goertzel,2137,DFTBin,2793
Goertzel,2132,DFTBin,2802
Goertzel,2129,DFTBin,2798
Goertzel,2132,DFTBin,2798
Goertzel,2125,DFTBin,2798
Goertzel,2132,DFTBin,2796
Goertzel,2129,DFTBin,2795
Goertzel,2140,DFTBin,2798
Goertzel,2132,DFTBin,2800
Goertzel,2129,DFTBin,2797
Goertzel,2132,DFTBin,2800
Goertzel,2125,DFTBin,2798
Goertzel,2130,DFTBin,2800
Goertzel,2131,DFTBin,2806
Goertzel,2126,DFTBin,2803
Goertzel,2127,DFTBin,2805
Goertzel,2133,DFTBin,2805
Goertzel,2132,DFTBin,2803
Goertzel,2126,DFTBin,2803
Goertzel,2135,DFTBin,2806
Goertzel,2130,DFTBin,2803
Goertzel,2138,DFTBin,2801
Goertzel,2127,DFTBin,2801
Goertzel,2130,DFTBin,2800
Goertzel,2131,DFTBin,2799
Goertzel,2133,DFTBin,2802
Goertzel,2134,DFTBin,2802
Goertzel,2131,DFTBin,2798
Goertzel,2135,DFTBin,2804
Goertzel,2132,DFTBin,2803
Goertzel,2137,DFTBin,2801
Goertzel,2133,DFTBin,2796
Goertzel,2138,DFTBin,2800
Goertzel,2131,DFTBin,2800
Goertzel,2130,DFTBin,2802
Goertzel,2131,DFTBin,2793
Goertzel,2128,DFTBin,2802
Goertzel,2135,DFTBin,2807
Goertzel,2128,DFTBin,2802
Goertzel,2133,DFTBin,2801
Goertzel,2132,DFTBin,2798
Goertzel,2131,DFTBin,2804
Goertzel,2133,DFTBin,2800
Goertzel,2132,DFTBin,2799
Goertzel,2126,DFTBin,2797
Goertzel,2131,DFTBin,2800
Goertzel,2133,DFTBin,2806
Goertzel,2131,DFTBin,2801
Goertzel,2131,DFTBin,2802
Goertzel,2130,DFTBin,2800
Goertzel,2135,DFTBin,2808
Goertzel,2131,DFTBin,2807
Goertzel,2128,DFTBin,2802
Goertzel,2127,DFTBin,2803
Goertzel,2139,DFTBin,2801
Goertzel,2133,DFTBin,2798
Goertzel,2129,DFTBin,2801
Goertzel,2134,DFTBin,2800
Goertzel,2130,DFTBin,2799
Goertzel,2132,DFTBin,2796
Goertzel,2129,DFTBin,2804
Goertzel,2124,DFTBin,2796
Goertzel,2130,DFTBin,2799
Goertzel,2133,DFTBin,2808
Goertzel,2128,DFTBin,2799
Goertzel,2130,DFTBin,2794
Goertzel,2133,DFTBin,2803
Goertzel,2129,DFTBin,2806
Goertzel,2125,DFTBin,2800
Goertzel,2131,DFTBin,2804
Goertzel,2131,DFTBin,2798
Goertzel,2132,DFTBin,2800
Goertzel,2125,DFTBin,2800
Goertzel,2131,DFTBin,2799
Goertzel,2121,DFTBin,2803
Goertzel,2131,DFTBin,2804
Goertzel,2130,DFTBin,2807
Goertzel,2133,DFTBin,2800
Goertzel,2131,DFTBin,2799
Goertzel,2132,DFTBin,2804
Goertzel,2129,DFTBin,2804
Goertzel,2135,DFTBin,2804
Goertzel,2137,DFTBin,2801
Goertzel,2141,DFTBin,2809
Goertzel,2133,DFTBin,2806
Goertzel,2131,DFTBin,2801
Goertzel,2131,DFTBin,2801
Goertzel,2130,DFTBin,2804
Goertzel,2126,DFTBin,2803
Goertzel,2130,DFTBin,2802
Goertzel,2129,DFTBin,2801
Goertzel,2132,DFTBin,2799
Goertzel,2127,DFTBin,2804
Goertzel,2133,DFTBin,2799
Goertzel,2127,DFTBin,2798
Goertzel,2132,DFTBin,2803
Goertzel,2131,DFTBin,2795
Goertzel,2133,DFTBin,2798
Goertzel,2134,DFTBin,2800
Goertzel,2126,DFTBin,2798
Goertzel,2134,DFTBin,2811
Goertzel,2130,DFTBin,2803
Goertzel,2129,DFTBin,2800
Goertzel,2131,DFTBin,2802
Goertzel,2128,DFTBin,2797
Goertzel,2132,DFTBin,2804
Goertzel,2128,DFTBin,2800
Goertzel,2134,DFTBin,2805
Goertzel,2128,DFTBin,2803
Goertzel,2130,DFTBin,2801
Goertzel,2129,DFTBin,2799
Goertzel,2133,DFTBin,2799
Goertzel,2131,DFTBin,2801
Goertzel,2137,DFTBin,2804
Goertzel,2134,DFTBin,2808
Goertzel,2135,DFTBin,2796
Goertzel,2134,DFTBin,2795
Goertzel,2128,DFTBin,2804
Goertzel,2130,DFTBin,2806
Goertzel,2134,DFTBin,2806
Goertzel,2130,DFTBin,2801
Goertzel,2132,DFTBin,2806
Goertzel,2133,DFTBin,2803
Goertzel,2131,DFTBin,2808
Goertzel,2133,DFTBin,2805
Goertzel,2125,DFTBin,2799
Goertzel,2130,DFTBin,2804
Goertzel,2131,DFTBin,2801
Goertzel,2124,DFTBin,2796
Goertzel,2131,DFTBin,2804
Goertzel,2139,DFTBin,2801
Goertzel,2129,DFTBin,2794
Goertzel,2128,DFTBin,2799
Goertzel,2132,DFTBin,2804
Goertzel,2129,DFTBin,2796
Goertzel,2125,DFTBin,2797
Goertzel,2135,DFTBin,2803
Goertzel,2136,DFTBin,2797
Goertzel,2134,DFTBin,2801
Goertzel,2131,DFTBin,2798
Goertzel,2131,DFTBin,2802
Goertzel,2132,DFTBin,2802
Goertzel,2129,DFTBin,2799
Goertzel,2132,DFTBin,2804
Goertzel,2135,DFTBin,2811
Goertzel,2133,DFTBin,2799
Goertzel,2134,DFTBin,2801
Goertzel,2133,DFTBin,2801
Goertzel,2127,DFTBin,2799
Goertzel,2129,DFTBin,2797
Goertzel,2137,DFTBin,2803
Goertzel,2135,DFTBin,2799
Goertzel,2135,DFTBin,2800
Goertzel,2131,DFTBin,2800
Goertzel,2134,DFTBin,2801
Goertzel,2126,DFTBin,2801
Goertzel,2132,DFTBin,2798
Goertzel,2127,DFTBin,2804
Goertzel,2131,DFTBin,2800
Goertzel,2138,DFTBin,2803
Goertzel,2127,DFTBin,2802
Goertzel,2129,DFTBin,2801
Goertzel,2129,DFTBin,2798
Goertzel,2127,DFTBin,2802
Goertzel,2136,DFTBin,2808
Goertzel,2133,DFTBin,2799
Goertzel,2134,DFTBin,2797
Goertzel,2134,DFTBin,2795
Goertzel,2128,DFTBin,2799
Goertzel,2125,DFTBin,2799
Goertzel,2132,DFTBin,2804
Goertzel,2136,DFTBin,2794
Goertzel,2138,DFTBin,2809
Goertzel,2129,DFTBin,2800
Goertzel,2127,DFTBin,2806
Goertzel,2129,DFTBin,2802
Goertzel,2133,DFTBin,2804
Goertzel,2125,DFTBin,2800
Goertzel,2128,DFTBin,2798
Goertzel,2129,DFTBin,2807
Goertzel,2124,DFTBin,2815
Goertzel,2130,DFTBin,2801
Goertzel,2128,DFTBin,2801
Goertzel,2132,DFTBin,2797
Goertzel,2135,DFTBin,2797
Goertzel,2139,DFTBin,2799
Goertzel,2131,DFTBin,2799
Goertzel,2130,DFTBin,2799
Goertzel,2128,DFTBin,2803
Goertzel,2132,DFTBin,2804
Goertzel,2127,DFTBin,2804
Goertzel,2131,DFTBin,2801
Goertzel,2128,DFTBin,2803
Goertzel,2130,DFTBin,2798
Goertzel,2124,DFTBin,2802
Goertzel,2128,DFTBin,2800
Goertzel,2131,DFTBin,2797
Goertzel,2138,DFTBin,2802
Goertzel,2128,DFTBin,2803
Goertzel,2129,DFTBin,2799
Goertzel,2131,DFTBin,2809
Goertzel,2135,DFTBin,2804
Goertzel,2130,DFTBin,2797
Goertzel,2132,DFTBin,2799
Goertzel,2131,DFTBin,2798
Goertzel,2132,DFTBin,2798
Goertzel,2135,DFTBin,2801
Goertzel,2136,DFTBin,2801
Goertzel,2128,DFTBin,2800
Goertzel,2133,DFTBin,2802
Goertzel,2128,DFTBin,2804
Goertzel,2128,DFTBin,2797
Goertzel,2134,DFTBin,2799
Goertzel,2132,DFTBin,2800
Goertzel,2133,DFTBin,2803
Goertzel,2130,DFTBin,2802
Goertzel,2129,DFTBin,2792
Goertzel,2136,DFTBin,2808
Goertzel,2130,DFTBin,2799
Goertzel,2132,DFTBin,2802